case_id,cohort,source_reference,setup_case_ids,question,expected_behavior,expected_query_type,response_shape,expected_claims,expected_evidence_tools,failure_mode,human_review
V2-FIN-001,happy_path,evaluation/conversation_acceptance_cases.json:FIN-001,,"Can you give me the Technology spend for each year?",answer,DIRECT_LOOKUP,concise_direct_answer,"$4.704M|2024|2025",get_finance_summary,informal_direct_request,no
V2-FIN-002,happy_path,evaluation/conversation_acceptance_cases.json:FIN-002,,"how much are we spending on cloud every year?",answer,DIRECT_LOOKUP,concise_direct_answer,"Infrastructure|2024|2025",get_finance_summary,lowercase_informal_request,no
V2-DEP-IT-001,happy_path,evaluation/conversation_acceptance_cases.json:DEP-IT-001,,"IT tech spend last year?",answer,DIRECT_LOOKUP,concise_direct_answer,"IT|$588,000",get_finance_summary,shorthand_time_reference,no
V2-DEP-FIN-001,happy_path,evaluation/conversation_acceptance_cases.json:DEP-FIN-001,,"what did Finance actually spend on tech in 2025",answer,DIRECT_LOOKUP,concise_direct_answer,"Finance|$588,000",get_finance_summary,informal_direct_request,no
V2-DEP-OPS-001,happy_path,evaluation/conversation_acceptance_cases.json:DEP-OPS-001,,"Operations Technology spend, 2025 please.",answer,DIRECT_LOOKUP,concise_direct_answer,"Operations|$588,000",get_finance_summary,telegraphic_request,no
V2-FIN-003,happy_path,evaluation/conversation_acceptance_cases.json:FIN-003,,"Were IT and Finance spending the same on Technology in 2025?",answer,DIRECT_LOOKUP,concise_direct_answer,"IT|Finance|$588,000",get_finance_summary,comparative_wording,no
V2-FIN-004,happy_path,evaluation/conversation_acceptance_cases.json:FIN-004,,"Did IT go over its Technology budget in 2025?",answer,DIRECT_LOOKUP,concise_direct_answer,"$600,000|$588,000|under",get_budget_variance,negative_premise,no
V2-CTX-001,happy_path,evaluation/conversation_acceptance_cases.json:CTX-001,,"Roughly how big is the company?",answer,AGGREGATE_CONTEXT,concise_direct_answer,"2,000|aggregate",get_headcount_summary,informal_aggregate_request,no
V2-PROC-001,happy_path,evaluation/conversation_acceptance_cases.json:PROC-001,,"Anything major renewing soon that leadership should know about?",answer,DIRECT_LOOKUP,concise_direct_answer,"RenewRight|October 26, 2026",get_upcoming_renewals,business_language,no
V2-PROC-005,happy_path,evaluation/conversation_acceptance_cases.json:PROC-005,,"Finance's 2025 spend with DataPulse?",answer,DIRECT_LOOKUP,concise_direct_answer,"DataPulse|$857,640",get_vendor_spend,telegraphic_request,no
