,reference.failure_mode,reference.human_review,reference.response_shape,reference.expected_claims,reference.expected_behavior,reference.expected_query_type,reference.expected_evidence_tools,input.case_id,input.question,input.setup_case_ids,outputs.assistant_response,outputs.case_id,outputs.cost_status,outputs.estimated_cost_usd,outputs.fresh_execution,outputs.input_tokens,outputs.latency_seconds,outputs.output_tokens,outputs.predicted_query_type,outputs.prior_experiment_results_used,outputs.token_usage_status,outputs.tool_names,outputs.total_tokens,execution_time,error,id,feedback.correct handling,feedback.cost status,feedback.estimated llm cost,feedback.expected result,feedback.input tokens,feedback.latency,feedback.output tokens,feedback.required evidence used,feedback.required facts included,outputs.operational_metrics.cost_status,outputs.operational_metrics.elapsed_seconds,outputs.operational_metrics.estimated_cost_usd,outputs.operational_metrics.execution_turn_count,outputs.operational_metrics.input_tokens,outputs.operational_metrics.model_call_count,outputs.operational_metrics.model_usage,outputs.operational_metrics.output_tokens,outputs.operational_metrics.pricing_snapshot,outputs.operational_metrics.pricing_source,outputs.operational_metrics.token_usage_status,outputs.operational_metrics.total_tokens,outputs.target_turn_operational_metrics.budget_exhaustion_reason,outputs.target_turn_operational_metrics.cost_status,outputs.target_turn_operational_metrics.elapsed_seconds,outputs.target_turn_operational_metrics.estimated_cost_usd,outputs.target_turn_operational_metrics.input_tokens,outputs.target_turn_operational_metrics.integration_errors,outputs.target_turn_operational_metrics.mcp_logical_action_count,outputs.target_turn_operational_metrics.model_call_count,outputs.target_turn_operational_metrics.model_usage,outputs.target_turn_operational_metrics.network_attempt_count,outputs.target_turn_operational_metrics.output_tokens,outputs.target_turn_operational_metrics.planner_call_count,outputs.target_turn_operational_metrics.pricing_snapshot,outputs.target_turn_operational_metrics.pricing_source,outputs.target_turn_operational_metrics.retry_count,outputs.target_turn_operational_metrics.stop_reason,outputs.target_turn_operational_metrics.token_usage_status,outputs.target_turn_operational_metrics.total_tokens
0,informal_direct_request,no,concise_direct_answer,"Finance|$588,000",answer,DIRECT_LOOKUP,get_finance_summary,V2-DEP-FIN-001,what did Finance actually spend on tech in 2025,,"2025 Technology spend was Finance: $588,000.

This is aggregate Finance-summary data, not an opportunity recommendation.",V2-DEP-FIN-001,estimated_standard_pricing,0.00027615,True,921.0,2.035,230.0,DIRECT_LOOKUP,False,recorded,['get_finance_summary'],1151.0,2.72787,,01a0781e-9d6e-7590-a611-17e55092215b,1.0,,0.0003,,921.0,2.035,230.0,1.0,1.0,estimated_standard_pricing,2.035,0.00027615,1,921.0,1,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00027615, 'input_tokens': 921, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 230, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 56, 'total_tokens': 1151, 'usage_status': 'recorded'}]",230.0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,recorded,1151.0,,estimated_standard_pricing,2.035,0.00027615,921.0,[],1,1,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00027615, 'input_tokens': 921, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 230, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 56, 'total_tokens': 1151, 'usage_status': 'recorded'}]",1,230.0,0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,0,direct_lookup,recorded,1151.0
1,lowercase_informal_request,no,concise_direct_answer,Infrastructure|2024|2025,answer,DIRECT_LOOKUP,get_finance_summary,V2-FIN-002,how much are we spending on cloud every year?,,"Northstar spent $480,000 on Cloud / Infrastructure in 2024 and $522,000 in 2025.

This is Finance-summary data. I can show the category breakdown or investigate a specific cost area.",V2-FIN-002,estimated_standard_pricing,0.00056625,True,2031.0,3.962,436.0,DIRECT_LOOKUP,False,recorded,"['get_finance_summary', 'get_finance_summary']",2467.0,3.990394,,01a0781e-a817-7cc0-b509-4cbc0b45dcce,1.0,,0.0006,,2031.0,3.962,436.0,1.0,1.0,estimated_standard_pricing,3.962,0.00056625,1,2031.0,2,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00025905, 'input_tokens': 967, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 190, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 46, 'total_tokens': 1157, 'usage_status': 'recorded'}, {'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.0003072, 'input_tokens': 1064, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 246, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 46, 'total_tokens': 1310, 'usage_status': 'recorded'}]",436.0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,recorded,2467.0,,estimated_standard_pricing,3.962,0.00056625,2031.0,[],2,2,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00025905, 'input_tokens': 967, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 190, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 46, 'total_tokens': 1157, 'usage_status': 'recorded'}, {'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.0003072, 'input_tokens': 1064, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 246, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 46, 'total_tokens': 1310, 'usage_status': 'recorded'}]",2,436.0,0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,0,direct_lookup,recorded,2467.0
2,missing_evidence,no,concise_direct_answer,unavailable|cannot confirm,answer,DIRECT_LOOKUP,get_contract_details,V2-PROC-011,"Do we know DataPulse's yearly contract value, or is that missing?",,"The active contract record for DataPulse is unavailable, so I cannot confirm its annual value.",V2-PROC-011,estimated_standard_pricing,0.00022065,True,907.0,1.406,141.0,DIRECT_LOOKUP,False,recorded,['get_contract_details'],1048.0,1.433178,,01a0781e-b7ad-7522-9a0a-fcf6d28ccdda,1.0,,0.0002,,907.0,1.406,141.0,1.0,1.0,estimated_standard_pricing,1.406,0.00022065,1,907.0,1,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00022065, 'input_tokens': 907, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 141, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 26, 'total_tokens': 1048, 'usage_status': 'recorded'}]",141.0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,recorded,1048.0,,estimated_standard_pricing,1.406,0.00022065,907.0,[],1,1,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00022065, 'input_tokens': 907, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 141, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 26, 'total_tokens': 1048, 'usage_status': 'recorded'}]",1,141.0,0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,0,direct_lookup,recorded,1048.0
3,fragmented_request,no,concise_direct_answer,cost per transaction,answer,DIRECT_LOOKUP,get_normalized_kpi,V2-CTX-004,IT cost per transaction - what is it?,,"IT's recorded 2025 cost per transaction is $8.9083.

This is a normalized business-context metric.",V2-CTX-004,estimated_standard_pricing,0.00019188,True,968.0,1.582,193.0,DIRECT_LOOKUP,False,recorded,['get_normalized_kpi'],1161.0,1.607781,,01a0781e-bd47-7f11-9921-9aa885d04404,1.0,,0.0002,,968.0,1.582,193.0,1.0,1.0,estimated_standard_pricing,1.582,0.00019188,1,968.0,1,"[{'cached_input_tokens': 512, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00019188, 'input_tokens': 968, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 193, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 17, 'total_tokens': 1161, 'usage_status': 'recorded'}]",193.0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,recorded,1161.0,,estimated_standard_pricing,1.582,0.00019188,968.0,[],1,1,"[{'cached_input_tokens': 512, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00019188, 'input_tokens': 968, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 193, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 17, 'total_tokens': 1161, 'usage_status': 'recorded'}]",1,193.0,0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,0,direct_lookup,recorded,1161.0
4,elliptical_follow_up,no,concise_direct_answer,"$600,000",answer,FOLLOW_UP,get_contract_details,V2-PROC-003,And what's it worth annually?,V2-PROC-002,"RenewRight is an active SaaS subscription valued at $600,000 annually.

It renews on October 26, 2026, does not auto-renew, and has a 30-day notice period.

I can next check the supporting contract document for seat-reduction or renewal-change terms.",V2-PROC-003,estimated_standard_pricing,0.00076995,True,3093.0,4.917,510.0,FOLLOW_UP,False,recorded,['get_contract_details'],3603.0,4.983784,,01a0781e-c38f-7dd2-bca8-24a2daa11603,1.0,,0.0008,,3093.0,4.917,510.0,1.0,1.0,estimated_standard_pricing,4.917,0.00076995,3,3093.0,3,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00028005, 'input_tokens': 939, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 232, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 64, 'total_tokens': 1171, 'usage_status': 'recorded'}, {'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00025065, 'input_tokens': 1079, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 148, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 20, 'total_tokens': 1227, 'usage_status': 'recorded'}, {'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00023925, 'input_tokens': 1075, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 130, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 15, 'total_tokens': 1205, 'usage_status': 'recorded'}]",510.0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,recorded,3603.0,,estimated_standard_pricing,1.502,0.00023925,1075.0,[],1,1,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00023925, 'input_tokens': 1075, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 130, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 15, 'total_tokens': 1205, 'usage_status': 'recorded'}]",1,130.0,0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,0,entity_follow_up,recorded,1205.0
5,ambiguous_pronoun_resolved_by_context,no,concise_direct_answer,CloudOffice,answer,FOLLOW_UP,get_vendor_details,V2-PROC-014,Tell me a bit more about them.,V2-PROC-007,CloudOffice is an active SaaS vendor with 1 linked applications and 1 recorded contracts.,V2-PROC-014,estimated_standard_pricing,0.00046755,True,1821.0,3.641,324.0,FOLLOW_UP,False,recorded,['get_vendor_details'],2145.0,3.687412,,01a0781e-d707-7522-a7ed-e8ab411baa11,1.0,,0.0005,,1821.0,3.641,324.0,1.0,1.0,estimated_standard_pricing,3.641,0.00046755,2,1821.0,2,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00024435, 'input_tokens': 885, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 186, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 58, 'total_tokens': 1071, 'usage_status': 'recorded'}, {'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.0002232, 'input_tokens': 936, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 138, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 16, 'total_tokens': 1074, 'usage_status': 'recorded'}]",324.0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,recorded,2145.0,,estimated_standard_pricing,1.586,0.0002232,936.0,[],1,1,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.0002232, 'input_tokens': 936, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 138, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 16, 'total_tokens': 1074, 'usage_status': 'recorded'}]",1,138.0,0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,0,entity_follow_up,recorded,1074.0
6,contract_constraint_follow_up,no,concise_direct_answer,supporting contract document,answer,FOLLOW_UP,get_contract_details|search_enterprise_documents,V2-PROC-010,Could we cut seats under that agreement?,V2-PROC-009,"RenewRight is an active SaaS subscription valued at $600,000 annually.

It renews on October 26, 2026, does not auto-renew, and has a 30-day notice period.

I also checked the supporting contract document for the requested clause detail; a human should validate any change against that document.",V2-PROC-010,estimated_standard_pricing,0.00140061,True,7524.0,11.536,1262.0,FOLLOW_UP,False,recorded,"['get_contract_details', 'search_enterprise_documents']",8786.0,11.662898,,01a0781e-e56f-7691-b237-0acfcdc3e620,1.0,,0.0014,,7524.0,11.536,1262.0,1.0,1.0,estimated_standard_pricing,11.536,0.00140061,6,7524.0,7,"[{'cached_input_tokens': 938, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00015342, 'input_tokens': 939, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 232, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 64, 'total_tokens': 1171, 'usage_status': 'recorded'}, {'cached_input_tokens': 1078, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00010512, 'input_tokens': 1079, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 148, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 20, 'total_tokens': 1227, 'usage_status': 'recorded'}, {'cached_input_tokens': 1074, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 9.426e-05, 'input_tokens': 1075, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 130, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 15, 'total_tokens': 1205, 'usage_status': 'recorded'}, {'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00023865, 'input_tokens': 1075, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 129, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 18, 'total_tokens': 1204, 'usage_status': 'recorded'}, {'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.0002328, 'input_tokens': 1076, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 119, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 15, 'total_tokens': 1195, 'usage_status': 'recorded'}, {'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00027435, 'input_tokens': 1121, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 177, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 46, 'total_tokens': 1298, 'usage_status': 'recorded'}, {'cached_input_tokens': 504, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00030201, 'input_tokens': 1159, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 327, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 172, 'total_tokens': 1486, 'usage_status': 'recorded'}]",1262.0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,recorded,8786.0,,estimated_standard_pricing,3.898,0.00057636,2280.0,[],2,2,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00027435, 'input_tokens': 1121, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 177, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 46, 'total_tokens': 1298, 'usage_status': 'recorded'}, {'cached_input_tokens': 504, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00030201, 'input_tokens': 1159, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 327, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 172, 'total_tokens': 1486, 'usage_status': 'recorded'}]",2,504.0,0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,0,entity_follow_up,recorded,2784.0
7,abbreviation,no,concise_direct_answer,2 recorded 2025 purchase orders,answer,DIRECT_LOOKUP,get_vendor_spend,V2-PROC-006,pull the Finance POs for 2025,,"Finance has 2 recorded 2025 purchase orders in the Northstar twin.

I can compare a specific vendor or service only where the recorded scope is like-for-like.",V2-PROC-006,estimated_standard_pricing,0.0002469,True,950.0,1.61,174.0,DIRECT_LOOKUP,False,recorded,['get_vendor_spend'],1124.0,1.637792,,01a0781f-12fe-7733-9b69-1d88ecce6a7e,1.0,,0.0002,,950.0,1.61,174.0,1.0,1.0,estimated_standard_pricing,1.61,0.0002469,1,950.0,1,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.0002469, 'input_tokens': 950, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 174, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 16, 'total_tokens': 1124, 'usage_status': 'recorded'}]",174.0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,recorded,1124.0,,estimated_standard_pricing,1.61,0.0002469,950.0,[],1,1,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.0002469, 'input_tokens': 950, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 174, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 16, 'total_tokens': 1124, 'usage_status': 'recorded'}]",1,174.0,0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,0,direct_lookup,recorded,1124.0
8,fragmented_request,no,concise_direct_answer,510|800|63.7%,answer,DIRECT_LOOKUP,get_license_utilization,V2-IT-004,CloudOffice usage - are the licenses being used?,,"CloudOffice Enterprise has 510 active 90-day users out of 800 purchased seats (63.7% utilization).

I can investigate whether contract constraints permit a right-sizing review.",V2-IT-004,estimated_standard_pricing,0.00017406,True,946.0,1.67,167.0,DIRECT_LOOKUP,False,recorded,['get_license_utilization'],1113.0,1.697356,,01a0781f-1964-7d92-9e4d-415ccf1f162c,1.0,,0.0002,,946.0,1.67,167.0,1.0,1.0,estimated_standard_pricing,1.67,0.00017406,1,946.0,1,"[{'cached_input_tokens': 504, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00017406, 'input_tokens': 946, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 167, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 16, 'total_tokens': 1113, 'usage_status': 'recorded'}]",167.0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,recorded,1113.0,,estimated_standard_pricing,1.67,0.00017406,946.0,[],1,1,"[{'cached_input_tokens': 504, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00017406, 'input_tokens': 946, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 167, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 16, 'total_tokens': 1113, 'usage_status': 'recorded'}]",1,167.0,0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,0,direct_lookup,recorded,1113.0
9,evidence_follow_up,no,concise_direct_answer,supporting contract document,answer,FOLLOW_UP,get_contract_details|search_enterprise_documents,V2-PROC-004,Can you show the clause behind that?,V2-PROC-003,"RenewRight is an active SaaS subscription valued at $600,000 annually.

It renews on October 26, 2026, does not auto-renew, and has a 30-day notice period.

I also checked the supporting contract document for the requested clause detail; a human should validate any change against that document.",V2-PROC-004,estimated_standard_pricing,0.00124536,True,6517.0,10.883,1255.0,FOLLOW_UP,False,recorded,"['get_contract_details', 'search_enterprise_documents']",7772.0,10.97413,,01a0781f-2006-7972-a494-4bebbf52cfc5,1.0,,0.0012,,6517.0,10.883,1255.0,1.0,1.0,estimated_standard_pricing,10.883,0.00124536,4,6517.0,6,"[{'cached_input_tokens': 938, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00015342, 'input_tokens': 939, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 232, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 64, 'total_tokens': 1171, 'usage_status': 'recorded'}, {'cached_input_tokens': 1078, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00010512, 'input_tokens': 1079, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 148, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 20, 'total_tokens': 1227, 'usage_status': 'recorded'}, {'cached_input_tokens': 1074, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 9.426e-05, 'input_tokens': 1075, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 130, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 15, 'total_tokens': 1205, 'usage_status': 'recorded'}, {'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00031995, 'input_tokens': 1121, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 253, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 101, 'total_tokens': 1374, 'usage_status': 'recorded'}, {'cached_input_tokens': 504, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00022236, 'input_tokens': 1144, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 198, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 51, 'total_tokens': 1342, 'usage_status': 'recorded'}, {'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00035025, 'input_tokens': 1159, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 294, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 140, 'total_tokens': 1453, 'usage_status': 'recorded'}]",1255.0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,recorded,7772.0,,estimated_standard_pricing,5.865,0.00089256,3424.0,[],2,3,"[{'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00031995, 'input_tokens': 1121, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 253, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 101, 'total_tokens': 1374, 'usage_status': 'recorded'}, {'cached_input_tokens': 504, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00022236, 'input_tokens': 1144, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 198, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 51, 'total_tokens': 1342, 'usage_status': 'recorded'}, {'cached_input_tokens': 0, 'cost_status': 'estimated_standard_pricing', 'estimated_cost_usd': 0.00035025, 'input_tokens': 1159, 'model': 'accounts/fireworks/models/gpt-oss-120b', 'output_tokens': 294, 'pricing_snapshot': '2026-09-06', 'pricing_source': 'https://docs.fireworks.ai/serverless/pricing', 'reasoning_tokens': 140, 'total_tokens': 1453, 'usage_status': 'recorded'}]",2,745.0,0,2026-09-06,https://docs.fireworks.ai/serverless/pricing,0,entity_follow_up,recorded,4169.0
